influencer_id,influencer_name,username,platform,category,country,followers,engagement_rate,avg_likes,avg_comments,avg_shares,avg_saves,reach,impressions,audience_quality_score,brand_name,brand_industry,target_audience,brand_match_score,campaign_type,campaign_duration_days,sponsored_post_count,estimated_campaign_budget,estimated_clicks,estimated_ctr,estimated_conversions,estimated_sales,estimated_revenue,estimated_roi,growth_tier,growth_score,authenticity_score,fake_follower_probability,campaign_success
INF-DD082998,Selena Gomez,selenagomez,Instagram,Lifestyle,United States,344200000.0,0.0052,1800000,2400000,71594,107390,51630000,61956000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.696,Reel/Short Video,17,1,83100.0,258150,0.005,1755,1755,280800.0,2.379,Mega,13.2,50.9,0.175,0
INF-471C8FE6,kimkardashian,kim kardashian,Instagram,Fashion,United States,337400000.0,0.0053,1800000,2600000,71529,107293,50610000,60732000,20.0,Levi's,Fashion & Apparel,18-35 Female,0.883,Reel/Short Video,21,2,272700.0,253050,0.005,1847,1847,101585.0,-0.627,Mega,13.8,51.3,0.168,0
INF-8C85D7B9,Dwayne Johnson,therock,Instagram,Cinema & Actors/actresses,India,335900000.0,0.0011,375200,477500,14780,22169,50385000,60462000,20.0,Amazon Prime,Entertainment,18-45 Mixed,0.688,Giveaway,30,3,277900.0,251925,0.005,1260,1260,17640.0,-0.937,Mega,10.2,42.1,0.317,0
INF-2ACD5684,Kim Kardashian,kimkardashian,Instagram,Fashion,United States,329800000.0,0.0036,1200000,1600000,47491,71237,49470000,59364000,20.0,Levi's,Fashion & Apparel,18-35 Female,0.859,Giveaway,36,3,314900.0,247350,0.005,2127,2127,116985.0,-0.629,Mega,12.9,45.7,0.259,0
INF-C3CF1001,Ariana Grande,arianagrande,Instagram,Lifestyle,United States,329600000.0,0.0088,2900000,4000000,116019,174029,49440000,59328000,20.0,Samsung,Consumer Electronics,22-40 Mixed,0.794,Brand Ambassador,59,2,251600.0,247200,0.005,2250,2250,270000.0,0.073,Mega,15.8,51.0,0.173,0
INF-42AA467F,beyonce,beyoncé,Instagram,Music,United States,275700000.0,0.0054,1500000,2200000,59551,89327,41355000,49626000,20.0,Bose,Consumer Electronics,15-35 Mixed,0.669,Reel/Short Video,52,2,203300.0,206775,0.005,1489,1489,178680.0,-0.121,Mega,16.6,48.4,0.215,0
INF-1D16E34C,Beyoncé,beyonce,Instagram,Fashion,United States,274100000.0,0.0055,1500000,2100000,60302,90453,41115000,49338000,20.0,H&M,Fashion & Apparel,18-35 Female,0.909,Story Ad,59,5,250700.0,205575,0.005,1747,1747,96085.0,-0.617,Mega,15.9,51.3,0.168,0
INF-CD2BE440,khloekardashian,khloé kardashian,Instagram,Clothing & Outfits,United States,272000000.0,0.0015,394800,489700,16320,24480,40800000,48960000,20.0,Pepsi,FMCG,18-45 Mixed,0.617,Reel/Short Video,24,1,117800.0,204000,0.005,1020,1020,18360.0,-0.844,Mega,9.7,35.3,0.428,0
INF-A71ED165,justinbieber,justin bieber,Instagram,Music,Brazil,270000000.0,0.0037,1000000,1400000,39960,59940,40500000,48600000,20.0,Bose,Consumer Electronics,15-35 Mixed,0.703,Reel/Short Video,54,4,144000.0,202500,0.005,1661,1661,199320.0,0.384,Mega,12.7,49.2,0.202,0
INF-58A41BAE,Khloé Kardashian,khloekardashian,Instagram,Clothing & Outfits,United States,268400000.0,0.0015,403100,499300,16104,24156,40260000,48312000,20.0,Pepsi,FMCG,18-45 Mixed,0.728,Story Ad,15,1,206600.0,201300,0.005,1469,1469,26442.0,-0.872,Mega,10.4,37.4,0.394,0
INF-066640EA,kendalljenner,kendall,Instagram,Modeling,United States,268000000.0,0.0119,3200000,5000000,127568,191352,40200000,48240000,20.0,Versace,Luxury Fashion,18-35 Female,0.769,Live Stream,11,1,129600.0,201000,0.005,1588,1588,397000.0,2.063,Mega,21.2,57.4,0.07,0
INF-AFCCB6D9,Justin Bieber,justinbieber,Instagram,Lifestyle,Brazil,256300000.0,0.0051,1300000,1800000,52285,78428,38445000,46134000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.881,Live Stream,31,1,487100.0,192225,0.005,1826,1826,292160.0,-0.4,Mega,12.8,45.8,0.258,0
INF-9638C385,Kendall,kendalljenner,Instagram,Modeling,United States,255400000.0,0.0033,852000,1300000,33713,50569,38310000,45972000,20.0,Maybelline,Beauty & Cosmetics,18-35 Female,0.798,Reel/Short Video,46,2,120500.0,191550,0.005,1647,1647,57645.0,-0.522,Mega,12.0,51.4,0.167,0
INF-AF6580F0,nike,nike,Instagram,Fitness & Gym,United States,252300000.0,0.0002,56100,72800,2018,3028,37845000,45414000,20.0,Adidas,Sports & Fitness,20-40 Mixed,0.717,Live Stream,45,2,323300.0,189225,0.005,1154,1154,75010.0,-0.768,Mega,11.4,42.6,0.309,0
INF-EB0BC59A,natgeo,national geographic,Instagram,Nature & landscapes,United States,250300000.0,0.0004,88200,112300,4005,6007,37545000,45054000,20.0,Pepsi,FMCG,18-45 Mixed,0.893,Product Review,8,1,382200.0,187725,0.005,1032,1032,18576.0,-0.951,Mega,7.8,27.8,0.549,0
INF-B8502F69,National Geographic,natgeo,Instagram,Nature & landscapes,United States,238300000.0,0.0003,78800,100300,2860,4289,35745000,42894000,20.0,Samsung,Consumer Electronics,18-45 Mixed,0.723,Brand Ambassador,40,1,352900.0,178725,0.005,894,894,107280.0,-0.696,Mega,9.3,39.6,0.358,0
INF-57C74376,taylorswift,taylor swift,Instagram,Music,Brazil,236500000.0,0.0097,2300000,3000000,91762,137643,35475000,42570000,20.0,Apple Music,Entertainment & Music,15-35 Mixed,0.787,Reel/Short Video,9,1,287500.0,177375,0.005,1171,1171,14052.0,-0.951,Mega,20.3,56.5,0.085,0
INF-9119A96F,jlo,jennifer lopez,Instagram,Music,United States,229300000.0,0.0025,571700,725200,22930,34395,34395000,41274000,20.0,Spotify,Entertainment & Music,15-35 Mixed,0.684,Brand Ambassador,16,1,151600.0,171975,0.005,1135,1135,13620.0,-0.91,Mega,12.3,40.3,0.347,0
INF-60EA8F1B,virat.kohli,virat kohli,Instagram,Sports with a ball,India,228800000.0,0.0109,2500000,2800000,99757,149635,34320000,41184000,20.0,Puma,Sports & Fitness,16-35 Male,0.842,Giveaway,25,2,89600.0,171600,0.005,2059,2059,133835.0,0.494,Mega,19.5,60.3,0.023,0
INF-6F907CF8,Taylor Swift,taylorswift,Instagram,Lifestyle,Brazil,223500000.0,0.0112,2500000,3300000,100128,150192,33525000,40230000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.809,Giveaway,48,1,284400.0,167625,0.005,1525,1525,244000.0,-0.142,Mega,21.0,58.6,0.051,0
INF-129AACF8,Jennifer Lopez,jlo,Instagram,Cinema & Actors/actresses,United States,220900000.0,0.0038,830400,1100000,33577,50365,33135000,39762000,20.0,Netflix,Entertainment,18-45 Mixed,0.959,Product Review,37,3,192100.0,165675,0.005,994,994,13916.0,-0.928,Mega,11.2,45.0,0.27,0
INF-3B1688E3,Virat Kohli,virat.kohli,Instagram,Sports with a ball,India,212600000.0,0.0122,2600000,2900000,103749,155623,31890000,38268000,20.0,Puma,Sports & Fitness,16-35 Male,0.822,Reel/Short Video,30,1,427000.0,159450,0.005,1116,1116,72540.0,-0.83,Mega,22.0,58.8,0.047,0
INF-16F65481,kourtneykardash,kourtney kardashian barker,Instagram,Lifestyle,United States,205600000.0,0.0068,1400000,2000000,55923,83885,30840000,37008000,20.0,Amazon,E-commerce,22-40 Mixed,0.696,Brand Ambassador,36,2,362300.0,154200,0.005,1095,1095,49275.0,-0.864,Mega,16.3,54.1,0.124,0
INF-5D14691E,Barbie,nickiminaj,Instagram,Lifestyle,United States,201800000.0,0.0024,486100,765500,19373,29059,30270000,36324000,20.0,Amazon,E-commerce,22-40 Mixed,0.868,Reel/Short Video,45,5,125300.0,151350,0.005,969,969,43605.0,-0.652,Mega,12.1,32.8,0.469,0
INF-F8535D97,nickiminaj,barbie,Instagram,Music,United States,200900000.0,0.0013,252500,398800,10447,15670,30135000,36162000,20.0,Bose,Consumer Electronics,15-35 Mixed,0.726,Product Review,8,1,313000.0,150675,0.005,753,753,90360.0,-0.711,Mega,12.0,35.4,0.427,0
INF-48E4D02F,neymarjr,nj 🇧🇷,Instagram,Sports with a ball,Brazil,198900000.0,0.0337,6700000,9500000,268117,402176,29835000,35802000,25.4,Puma,Sports & Fitness,16-35 Male,0.917,Brand Ambassador,58,3,480200.0,184977,0.0062,1498,1498,97370.0,-0.797,Mega,40.1,60.4,0.089,0
INF-9618C90B,Kourtney Kardashian Barker,kourtneykardash,Instagram,Lifestyle,United States,196400000.0,0.0061,1200000,1700000,47922,71882,29460000,35352000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.734,Brand Ambassador,59,7,149100.0,147300,0.005,1105,1105,176800.0,0.186,Mega,16.5,44.4,0.28,0
INF-83282107,mileycyrus,miley cyrus,Instagram,Music,United States,189800000.0,0.0053,998200,1300000,40238,60356,28470000,34164000,20.0,Apple Music,Entertainment & Music,15-35 Mixed,0.977,Sponsored Post,15,1,394400.0,142350,0.005,1125,1125,13500.0,-0.966,Mega,15.0,52.4,0.151,0
INF-43A2B7B1,katyperry,katy perry,Instagram,Music,Brazil,184600000.0,0.0007,135800,175200,5169,7753,27690000,33228000,20.0,Bose,Consumer Electronics,15-35 Mixed,0.945,Sponsored Post,34,2,404200.0,138450,0.005,761,761,91320.0,-0.774,Mega,8.8,31.2,0.495,0
INF-8B9D7FE3,NJ 🇧🇷,neymarjr,Instagram,Sports with a ball,Brazil,178100000.0,0.0084,1500000,2200000,59842,89762,26715000,32058000,20.0,Adidas,Sports & Fitness,16-35 Male,0.773,Live Stream,12,1,393700.0,133575,0.005,1229,1229,79885.0,-0.797,Mega,17.4,53.9,0.126,0
INF-B6F69431,Miley Cyrus,mileycyrus,Instagram,Music,United States,176600000.0,0.0031,552800,750900,21898,32848,26490000,31788000,20.0,Apple Music,Entertainment & Music,15-35 Mixed,0.73,Product Review,8,1,429100.0,132450,0.005,662,662,7944.0,-0.981,Mega,11.8,28.0,0.547,0
INF-6B960682,KATY PERRY,katyperry,Instagram,Lifestyle,Brazil,171200000.0,0.0008,130500,168300,5478,8218,25680000,30816000,20.0,Amazon,E-commerce,22-40 Mixed,0.709,Brand Ambassador,38,3,162500.0,128400,0.005,642,642,28890.0,-0.822,Mega,11.4,35.7,0.421,0
INF-830B28A8,kevinhart4real,kevin hart,Instagram,Cinema & Actors/actresses,United States,160800000.0,0.0002,34800,45200,1286,1930,24120000,28944000,20.0,Disney+,Entertainment,18-45 Mixed,0.907,Brand Ambassador,58,4,140400.0,120600,0.005,603,603,8442.0,-0.94,Mega,7.5,28.0,0.547,0
INF-BDA75C1E,Khabane lame,khaby.lame,TikTok,Lifestyle,Unknown,153100000.0,0.0078,1200000,20800,2300,23884,10600000,13780000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.726,Product Review,13,1,364600.0,53000,0.005,302,302,48320.0,-0.867,Mega,18.0,45.5,0.263,0
INF-1F1910D4,Kevin Hart,kevinhart4real,Instagram,Cinema & Actors/actresses,United States,152500000.0,0.0005,68900,87300,3050,4575,22875000,27450000,20.0,Disney+,Entertainment,18-45 Mixed,0.879,Sponsored Post,47,3,163900.0,114375,0.005,1007,1007,14098.0,-0.914,Mega,11.2,39.4,0.362,0
INF-574A6C71,zendaya,zendaya,Instagram,Cinema & Actors/actresses,United States,152200000.0,0.0315,4800000,6500000,191772,287658,22830000,27396000,29.5,Disney+,Entertainment,18-45 Mixed,0.894,Reel/Short Video,50,1,132000.0,162093,0.0071,1929,1929,27006.0,-0.795,Mega,39.0,65.0,0.063,1
INF-5B4E2496,charli d’amelio,charlidamelio,TikTok,Lifestyle,Unknown,149000000.0,0.0053,789900,6900,3000,15794,7800000,10140000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.749,Live Stream,14,1,358400.0,39000,0.005,195,195,31200.0,-0.913,Mega,14.3,27.9,0.548,0
INF-3FD3F1C4,iamcardib,cardi b,Instagram,Music,United States,144900000.0,0.011,1600000,2300000,63756,95634,21735000,26082000,20.0,Apple Music,Entertainment & Music,15-35 Mixed,0.745,Live Stream,56,4,313200.0,108675,0.005,674,674,8088.0,-0.974,Mega,19.0,56.2,0.089,0
INF-EA3FD948,ddlovato,demi lovato,Instagram,Music,United States,144200000.0,0.0023,335900,434000,13266,19900,21630000,25956000,20.0,Spotify,Entertainment & Music,15-35 Mixed,0.685,Reel/Short Video,14,1,256000.0,108150,0.005,541,541,6492.0,-0.975,Mega,10.0,41.7,0.324,0
INF-1794DE1A,Cardi B,iamcardib,Instagram,Fashion,United States,140400000.0,0.0064,893800,1300000,35942,53914,21060000,25272000,20.0,Zara,Fashion & Apparel,18-35 Female,0.958,Live Stream,46,5,276300.0,105300,0.005,1095,1095,60225.0,-0.782,Mega,13.7,45.9,0.256,0
INF-F40966EE,kingjames,👑,Instagram,Sports with a ball,United States,139400000.0,0.0046,643400,1000000,25650,38474,20910000,25092000,20.0,Puma,Sports & Fitness,16-35 Male,0.686,Reel/Short Video,22,2,414700.0,104550,0.005,815,815,52975.0,-0.872,Mega,13.3,49.2,0.202,0
INF-2D27F638,Demi Lovato,ddlovato,Instagram,Lifestyle,United States,139200000.0,0.0022,302700,392000,12250,18374,20880000,25056000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.85,Product Review,56,7,333300.0,104400,0.005,804,804,128640.0,-0.614,Mega,12.1,43.1,0.302,0
INF-F949ECFD,👑,kingjames,Instagram,Sports with a ball,United States,131500000.0,0.0047,618300,1100000,24722,37083,19725000,23670000,20.0,Adidas,Sports & Fitness,16-35 Male,0.791,Brand Ambassador,13,1,444300.0,98625,0.005,562,562,36530.0,-0.918,Mega,15.4,48.7,0.211,0
INF-2F36E2BC,realmadrid,real madrid c.f.,Instagram,Sports with a ball,Spain,129400000.0,0.004,516600,720500,20704,31056,19410000,23292000,20.0,Puma,Sports & Fitness,16-35 Male,0.732,Product Review,19,1,393300.0,97050,0.005,903,903,58695.0,-0.851,Mega,15.3,50.3,0.185,0
INF-EBE86199,chrisbrownofficial,brown,Instagram,Music,United States,127300000.0,0.0021,264100,414200,10693,16040,19095000,22914000,20.0,Bose,Consumer Electronics,15-35 Mixed,0.672,Reel/Short Video,32,2,141400.0,95475,0.005,544,544,65280.0,-0.538,Mega,10.9,30.5,0.505,0
INF-82EB24D2,champagnepapi,champagnepapi,Instagram,Music,United States,126300000.0,0.0046,587000,998800,23239,34859,18945000,22734000,20.0,Spotify,Entertainment & Music,15-35 Mixed,0.697,Reel/Short Video,55,6,149500.0,94725,0.005,512,512,6144.0,-0.959,Mega,12.1,49.3,0.201,0
INF-632C2AC7,badgalriri,badgalriri,Instagram,Music,United States,125100000.0,0.0224,2800000,4600000,112090,168134,18765000,22518000,20.6,Spotify,Entertainment & Music,15-35 Mixed,0.688,Product Review,35,1,103300.0,93825,0.005,666,666,7992.0,-0.923,Mega,27.8,56.9,0.086,0
INF-2D8C1F8C,Ellen DeGeneres,theellenshow,Instagram,Shows,United States,125100000.0,0.0002,28400,34200,1001,1501,18765000,22518000,20.0,Netflix,Entertainment,18-40 Mixed,0.845,Product Review,34,3,245300.0,93825,0.005,629,629,8806.0,-0.964,Mega,8.4,43.2,0.3,0
INF-FE56ADBC,Real Madrid C.F.,realmadrid,Instagram,Sports with a ball,Spain,124600000.0,0.0026,324400,450700,12958,19438,18690000,22428000,20.0,Gatorade,Sports & Nutrition,16-35 Male,0.939,Brand Ambassador,49,6,98300.0,93450,0.005,692,692,26296.0,-0.732,Mega,11.0,38.4,0.377,0
INF-89EDD9B4,theellenshow,ellen degeneres,Instagram,Shows,United States,124400000.0,0.0003,33400,40200,1493,2239,18660000,22392000,20.0,HBO,Entertainment,18-40 Mixed,0.732,Product Review,41,3,254800.0,93300,0.005,476,476,6664.0,-0.974,Mega,9.8,39.5,0.36,0
INF-F9BD2A97,BREEZY,chrisbrownofficial,Instagram,Lifestyle,United States,119100000.0,0.0014,172000,268200,6670,10004,17865000,21438000,20.0,Amazon,E-commerce,22-40 Mixed,0.823,Sponsored Post,54,1,430100.0,89325,0.005,447,447,20115.0,-0.953,Mega,8.9,39.6,0.358,0
INF-095A491D,chrisbrownofficial,breezy,Instagram,Music,United States,118800000.0,0.0007,88500,137900,3326,4990,17820000,21384000,20.0,Spotify,Entertainment & Music,15-35 Mixed,0.683,Sponsored Post,51,6,459100.0,89100,0.005,579,579,6948.0,-0.985,Mega,9.7,42.1,0.317,0
INF-EDECA787,fcbarcelona,fc barcelona,Instagram,Sports with a ball,Indonesia,114800000.0,0.0036,414900,584500,16531,24797,17220000,20664000,20.0,Adidas,Sports & Fitness,16-35 Male,0.907,Live Stream,40,3,407200.0,86100,0.005,835,835,54275.0,-0.867,Mega,12.2,50.7,0.178,0
INF-61D86C1F,FC Barcelona,fcbarcelona,Instagram,Sports with a ball,Indonesia,111900000.0,0.0034,383800,585400,15218,22828,16785000,20142000,20.0,Gatorade,Sports & Nutrition,16-35 Male,0.82,Sponsored Post,58,7,274400.0,83925,0.005,604,604,22952.0,-0.916,Mega,13.6,47.3,0.233,0
INF-54751D22,billieeilish,billie eilish,Instagram,Music,United States,107500000.0,0.027,2900000,3800000,116100,174150,16125000,19350000,22.4,Bose,Consumer Electronics,15-35 Mixed,0.738,Brand Ambassador,10,1,280700.0,83850,0.0052,713,713,85560.0,-0.695,Mega,33.0,61.1,0.043,0
INF-9C8F0C01,BILLIE EILISH,billieeilish,Instagram,Lifestyle,United States,106200000.0,0.033,3500000,4600000,140184,210276,15930000,19116000,24.8,Amazon,E-commerce,22-40 Mixed,0.727,Brand Ambassador,26,2,217500.0,89208,0.0056,571,571,25695.0,-0.882,Mega,38.0,62.3,0.053,0
INF-200E7842,championsleague,uefa champions league,Instagram,Sports with a ball,Brazil,101100000.0,0.0037,371300,505900,14963,22444,15165000,18198000,20.0,Puma,Sports & Fitness,16-35 Male,0.876,Product Review,22,2,464900.0,75825,0.005,607,607,39455.0,-0.915,Mega,13.1,48.9,0.207,0
INF-0B031484,UEFA Champions League,championsleague,Instagram,Sports with a ball,Brazil,97600000.0,0.0029,285700,389300,11322,16982,14640000,17568000,20.0,Gatorade,Sports & Nutrition,16-35 Male,0.758,Giveaway,35,4,354100.0,73200,0.005,447,447,16986.0,-0.952,Mega,12.8,29.7,0.519,0
INF-613101CB,Bella Poarch,bellapoarch,TikTok,Lifestyle,Unknown,92600000.0,0.0052,482200,4800,1500,9630,6000000,7800000,20.0,Samsung,Consumer Electronics,22-40 Mixed,0.826,Reel/Short Video,40,1,388700.0,30000,0.005,159,159,19080.0,-0.951,Mega,11.6,29.2,0.526,0
INF-2AADCBE3,gal_gadot,gal gadot,Instagram,Cinema & Actors/actresses,United States,92300000.0,0.0068,629000,813100,25106,37658,13845000,16614000,20.0,Netflix,Entertainment,18-45 Mixed,0.879,Giveaway,52,6,338000.0,69225,0.005,768,768,10752.0,-0.968,Mega,16.3,53.7,0.129,0
INF-C8612E0B,k.mbappe,kylian mbappé,Instagram,Sports with a ball,France,90400000.0,0.0664,6000000,8400000,240102,360154,13560000,16272000,45.3,Adidas,Sports & Fitness,16-35 Male,0.889,Story Ad,11,1,473100.0,196620,0.0145,2674,2674,173810.0,-0.633,Mega,53.7,75.2,0.046,1
INF-00264F16,Addison,addisonre,TikTok,Lifestyle,Unknown,88700000.0,0.0034,304900,2400,2000,6032,5300000,6890000,20.0,Samsung,Consumer Electronics,22-40 Mixed,0.914,Sponsored Post,28,2,408700.0,26500,0.005,231,231,27720.0,-0.932,Mega,12.7,41.5,0.327,0
INF-AF0DAA28,dualipa,dua lipa,Instagram,Music,United States,87600000.0,0.0126,1100000,1400000,44150,66226,13140000,15768000,20.0,Bose,Consumer Electronics,15-35 Mixed,0.734,Reel/Short Video,45,3,119900.0,65700,0.005,506,506,60720.0,-0.494,Mega,22.8,55.8,0.096,0
INF-63566C53,Gal Gadot,gal_gadot,Instagram,Cinema & Actors/actresses,United States,86400000.0,0.0056,485500,627300,19354,29030,12960000,15552000,20.0,Amazon Prime,Entertainment,18-45 Mixed,0.836,Story Ad,7,1,275700.0,64800,0.005,434,434,6076.0,-0.978,Mega,14.7,51.9,0.159,0
INF-A3682086,DUA LIPA,dualipa,Instagram,Lifestyle,United States,86300000.0,0.0139,1200000,1500000,47983,71974,12945000,15534000,20.0,Airbnb,Travel & Hospitality,22-40 Mixed,0.902,Live Stream,49,4,331800.0,64725,0.005,783,783,125280.0,-0.622,Mega,22.3,59.0,0.044,0
INF-7B29830D,nasa,nasa,Instagram,Science,India,86000000.0,0.0108,931900,1100000,37152,55728,12900000,15480000,20.0,Pepsi,FMCG,18-45 Mixed,0.922,Reel/Short Video,13,1,129200.0,64500,0.005,716,716,12888.0,-0.9,Mega,18.3,59.0,0.044,0
INF-14E09C04,lalalalisa_m,lisa,Instagram,Music,Indonesia,85700000.0,0.0653,5600000,6400000,223848,335773,12855000,15426000,44.6,Bose,Consumer Electronics,15-35 Mixed,0.788,Sponsored Post,55,5,361900.0,159402,0.0124,2104,2104,252480.0,-0.302,Mega,53.2,74.9,0.046,1
INF-75DA5463,vindiesel,vin diesel,Instagram,Cinema & Actors/actresses,Brazil,84800000.0,0.0051,433000,558800,17299,25949,12720000,15264000,20.0,Disney+,Entertainment,18-45 Mixed,0.902,Brand Ambassador,40,2,233000.0,63600,0.005,598,598,8372.0,-0.964,Mega,13.8,50.9,0.175,0
INF-C67D1F46,priyankachopra,priyanka,Instagram,Cinema & Actors/actresses,India,84100000.0,0.0064,541800,607900,21530,32294,12615000,15138000,20.0,Amazon Prime,Entertainment,18-45 Mixed,0.699,Brand Ambassador,11,1,263900.0,63075,0.005,378,378,5292.0,-0.98,Mega,13.8,45.2,0.267,0
INF-2661E70D,Vin Diesel,vindiesel,Instagram,Cinema & Actors/actresses,Brazil,82700000.0,0.0043,353200,457400,14224,21337,12405000,14886000,20.0,Disney+,Entertainment,18-45 Mixed,0.891,Product Review,36,4,407700.0,62025,0.005,428,428,5992.0,-0.985,Mega,14.2,51.3,0.168,0
INF-8CCED11D,Priyanka,priyankachopra,Instagram,Cinema & Actors/actresses,India,81800000.0,0.0042,343400,417300,13742,20614,12270000,14724000,20.0,Disney+,Entertainment,18-45 Mixed,0.774,Story Ad,59,1,479500.0,61350,0.005,399,399,5586.0,-0.988,Mega,13.7,46.6,0.245,0
INF-FF10CA6A,LISA,lalalalisa_m,Instagram,Lifestyle,Indonesia,81700000.0,0.0612,5000000,5800000,200002,300002,12255000,14706000,47.0,Samsung,Consumer Electronics,22-40 Mixed,0.931,Live Stream,40,1,327100.0,181374,0.0148,2521,2521,302520.0,-0.075,Mega,51.3,77.3,0.03,1
INF-95FCAF24,khaby00,khaby lame,Instagram,Sports with a ball,India,80300000.0,0.0249,2000000,2700000,79979,119968,12045000,14454000,22.8,Adidas,Sports & Fitness,16-35 Male,0.654,Sponsored Post,31,3,204100.0,63838,0.0053,638,638,41470.0,-0.797,Mega,32.3,62.5,0.026,0
INF-2AB5B788,Khaby Lame,khaby00,Instagram,Sports with a ball,India,79300000.0,0.0353,2800000,3900000,111972,167957,11895000,14274000,26.9,Gatorade,Sports & Nutrition,16-35 Male,0.796,Sponsored Post,23,2,408100.0,90402,0.0076,985,985,37430.0,-0.908,Mega,40.2,61.2,0.093,0
INF-223DEFBE,snoopdogg,snoopdogg,Instagram,Lifestyle,United States,78300000.0,0.0003,23800,34200,940,1409,11745000,14094000,20.0,Samsung,Consumer Electronics,22-40 Mixed,0.979,Sponsored Post,53,5,431500.0,58725,0.005,446,446,53520.0,-0.876,Mega,8.6,40.2,0.348,0
INF-9C98C597,shakira,shakira,Instagram,Music,United States,77900000.0,0.0083,647100,884100,25863,38794,11685000,14022000,20.0,Spotify,Entertainment & Music,15-35 Mixed,0.98,Sponsored Post,42,1,118000.0,58425,0.005,549,549,6588.0,-0.944,Mega,17.2,51.7,0.162,0
